id,channel,t_start_ns,t_end_ns,duration_ns,shape,params.sigma,amp_dbm,carrier.freq_hz,carrier.phase_deg,params.stage,params.conditional,params.cond_on,params.rise_ns,params.fall_ns,amp_uA
P1,XY_0,3410.0,3430.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P2,XY_0,3470.0,3490.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P3,XY_1,3650.0,3670.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P4,XY_1,3710.0,3730.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P5,XY_2,3970.0,3990.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P6,XY_2,4030.0,4050.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P7,XY_3,3730.0,3750.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P8,XY_3,3790.0,3810.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P9,XY_3,3890.0,3910.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P10,XY_3,3950.0,3970.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P11,XY_4,2530.0,2550.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P12,XY_4,2590.0,2610.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P13,XY_4,4130.0,4150.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P14,XY_4,4190.0,4210.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P15,XY_5,2770.0,2790.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P16,XY_5,2830.0,2850.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P17,XY_5,4210.0,4230.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P18,XY_5,4270.0,4290.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P19,XY_6,3490.0,3510.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P20,XY_6,3550.0,3570.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P21,XY_7,3250.0,3270.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P22,XY_7,3310.0,3330.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P23,XY_8,3010.0,3030.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P24,XY_8,3070.0,3090.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P25,XY_9,2270.0,2290.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,reset_conditional_pi,True,1,,,
P26,XY_9,2370.0,2390.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P27,XY_9,2430.0,2450.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P28,XY_9,2610.0,2630.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P29,XY_9,2670.0,2690.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P30,XY_9,2850.0,2870.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P31,XY_9,2910.0,2930.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P32,XY_9,3090.0,3110.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P33,XY_9,3150.0,3170.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P34,XY_10,2270.0,2290.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,reset_conditional_pi,True,1,,,
P35,XY_10,3330.0,3350.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P36,XY_10,3390.0,3410.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P37,XY_10,3570.0,3590.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P38,XY_10,3630.0,3650.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P39,XY_10,3810.0,3830.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P40,XY_10,3870.0,3890.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P41,XY_10,4050.0,4070.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P42,XY_10,4110.0,4130.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P43,XY_11,2270.0,2290.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,reset_conditional_pi,True,1,,,
P44,XY_11,2450.0,2470.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P45,XY_11,2510.0,2530.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P46,XY_11,2690.0,2710.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P47,XY_11,2750.0,2770.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P48,XY_12,2270.0,2290.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,reset_conditional_pi,True,1,,,
P49,XY_12,2930.0,2950.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P50,XY_12,2990.0,3010.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P51,XY_12,3170.0,3190.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P52,XY_12,3230.0,3250.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P53,XY_13,2270.0,2290.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,reset_conditional_pi,True,1,,,
P54,XY_13,2290.0,2310.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P55,XY_13,4290.0,4310.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P56,XY_14,2270.0,2290.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,reset_conditional_pi,True,1,,,
P57,XY_14,2310.0,2330.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P58,XY_14,4310.0,4330.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P59,XY_15,2270.0,2290.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,reset_conditional_pi,True,1,,,
P60,XY_15,2330.0,2350.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P61,XY_15,4330.0,4350.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P62,XY_16,2270.0,2290.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,reset_conditional_pi,True,1,,,
P63,XY_16,2350.0,2370.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P64,XY_16,4350.0,4370.0,20.0,gaussian,3.3333333333333335,1.0,5000000000.0,0.0,,,,,,
P65,TC_0,2390.0,2430.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P66,TC_1,2470.0,2510.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P67,TC_2,2550.0,2590.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P68,TC_3,2630.0,2670.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P69,TC_4,2710.0,2750.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P70,TC_5,2790.0,2830.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P71,TC_6,2870.0,2910.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P72,TC_7,2950.0,2990.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P73,TC_8,3030.0,3070.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P74,TC_9,3110.0,3150.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P75,TC_10,3190.0,3230.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P76,TC_11,3270.0,3310.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P77,TC_12,3350.0,3390.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P78,TC_13,3430.0,3470.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P79,TC_14,3510.0,3550.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P80,TC_15,3590.0,3630.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P81,TC_16,3670.0,3710.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P82,TC_17,3750.0,3790.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P83,TC_18,3830.0,3870.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P84,TC_19,3910.0,3950.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P85,TC_20,3990.0,4030.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P86,TC_21,4070.0,4110.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P87,TC_22,4150.0,4190.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P88,TC_23,4230.0,4270.0,40.0,rect,,,,,,,,2.0,2.0,0.75
P89,RO_9,0.0,2000.0,2000.0,readout,,0.8,8000000000.0,0.0,reset_measure,,,2.0,2.0,
P90,RO_9,2000.0,2150.0,150.0,rect,,0.15,8000000000.0,0.0,reset_deplete,,,2.0,2.0,
P91,RO_9,4370.0,6370.0,2000.0,readout,,0.8,8000000000.0,0.0,,,,2.0,2.0,
