task,case,engine,time,p1,encoding
task1_single_qubit_baseline,baseline,qutip,0.0,0.0,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,1.0,0.008298707349131232,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,2.0,0.016528545701286517,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,3.0,0.024690085772193514,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,4.0,0.0327838962550251,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,5.0,0.040810536451185174,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,6.0,0.048770567378603295,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,7.0,0.05666454180520263,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,8.0,0.06449300656627466,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,9.0,0.07225650532790212,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,10.0,0.07995557715354863,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,11.0,0.08759075673651048,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,12.0,0.09516257448021308,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,13.0,0.10267155609620023,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,14.0,0.11011822278197902,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,15.0,0.11750309147256036,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,16.0,0.12482667584078191,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,17.0,0.1320894847504302,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,18.0,0.13929202265614782,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,19.0,0.1464347897031139,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,20.0,0.1535182817270441,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,21.0,0.16054299025419055,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,22.0,0.16750940250134191,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,23.0,0.1744180013758233,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,24.0,0.18126926699426738,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,25.0,0.1880636774960834,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,26.0,0.19480170475510583,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,27.0,0.20148381648445632,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,28.0,0.20811047630039223,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,29.0,0.21468214372230654,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,30.0,0.22119927417272764,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,31.0,0.2276623189773196,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,32.0,0.2340717253757273,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,33.0,0.24042794078841165,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,34.0,0.24673140951118155,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,35.0,0.2529825692613289,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,36.0,0.2591818539285498,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,37.0,0.2653296935749444,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,38.0,0.2714265144350168,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,39.0,0.27747273891567514,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,40.0,0.2834687855962318,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,41.0,0.2894150694476425,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,42.0,0.29531200567435667,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,43.0,0.301160004905699,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,44.0,0.30695947323901573,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,45.0,0.3127108134003507,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,46.0,0.3184144247740011,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,47.0,0.32407070343207356,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,48.0,0.3296800421640397,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,49.0,0.3352428305062917,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,50.0,0.34075945477169867,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,51.0,0.3462302980791619,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,52.0,0.3516557403831707,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,53.0,0.3570361585033585,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,54.0,0.36237192615405833,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,55.0,0.36766341397385865,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,56.0,0.37291098932783895,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,57.0,0.37811501618654547,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,58.0,0.3832758558921587,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,59.0,0.38839386681550303,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,60.0,0.39346940436873323,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,61.0,0.3985028210333728,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,62.0,0.40349446638835285,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,63.0,0.4084446871380506,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,64.0,0.4133538271403279,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,65.0,0.4182222274345706,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,66.0,0.4230502262697261,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,67.0,0.42783815913234285,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,68.0,0.43258635877460894,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,69.0,0.43729515524239,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,70.0,0.4419648758259227,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,71.0,0.44659584372299993,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,72.0,0.4511883800191009,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,73.0,0.45574280360814945,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,74.0,0.46025943075258613,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,75.0,0.46473857510851585,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,76.0,0.4691805477508546,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,77.0,0.4735856571984774,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,78.0,0.477954209439365,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,79.0,0.48228650795575156,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,80.0,0.48658285374927185,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,81.0,0.49084354536610836,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,82.0,0.49506887892213886,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,83.0,0.4992591481280836,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,84.0,0.5034146443146524,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,85.0,0.5075356558531353,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,86.0,0.5116224677668599,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,87.0,0.5156753638039445,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,88.0,0.5196946254214699,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,89.0,0.5236805317616776,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,90.0,0.5276333596746485,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,91.0,0.5315533837409813,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,92.0,0.5354408762944712,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,93.0,0.5392961074447888,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,94.0,0.5431193451001579,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,95.0,0.5469108549900349,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,96.0,0.550670900687787,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,97.0,0.5543997436333709,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,98.0,0.5580976431560111,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,99.0,0.5617648564132204,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,100.0,0.5654016368292765,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,101.0,0.5690082363644254,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,102.0,0.5725849054496263,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,103.0,0.576131892448179,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,104.0,0.5796494436754772,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,105.0,0.5831378034187598,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,106.0,0.5865972139568629,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,107.0,0.5900279155799725,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,108.0,0.5934301466093757,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,109.0,0.5968041434172132,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,110.0,0.6001501404462315,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,111.0,0.6034683702295347,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,112.0,0.6067590634103364,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,113.0,0.6100224487617122,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,114.0,0.6132587527629079,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,115.0,0.6164681992778297,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,116.0,0.6196510111375967,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,117.0,0.6228074093766701,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,118.0,0.6259376132125033,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,119.0,0.629041840063434,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,120.0,0.6321203055665753,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,121.0,0.6351732235957066,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,122.0,0.6382008062791656,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,123.0,0.6412032640177397,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,124.0,0.644180805502557,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,125.0,0.6471336377329775,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,126.0,0.6500619660344853,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,127.0,0.6529659940765795,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,128.0,0.6558459238259827,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,129.0,0.6587019542432697,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,130.0,0.6615342831455906,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,131.0,0.6643431071882387,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,132.0,0.667128621401268,per_qubit_excited_probability
